strain	author	submitting_lab
A/cygnuscygnus/Romania/1017123VIR11459/2023	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Pastori, A.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/cygnusolor/Romania/1010323VIR11457/2023	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Pastori, A.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/cygnusolor/Romania/1010123VIR11455/2023	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Pastori, A.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/cygnusolor/Romania/1003923VIR11454/2023	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Pastori, A.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/duck/Bangladesh/25887/2015	"Barman,S.; Marinova-Petkova,A.; Hasan,M.K.; Akhtar,S.; Turner,J.C.; Franks,J.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/25683/2015	"Barman,S.; Marinova-Petkova,A.; Hasan,M.K.; Akhtar,S.; Turner,J.C.; Franks,J.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/environment/Bangladesh/26170/2015	"Barman,S.; Marinova-Petkova,A.; Hasan,M.K.; Akhtar,S.; Turner,J.C.; Franks,J.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/26182/2015	"Barman,S.; Marinova-Petkova,A.; Hasan,M.K.; Akhtar,S.; Turner,J.C.; Franks,J.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/27892/2015	"Barman,S.; Marinova-Petkova,A.; Hasan,M.K.; Akhtar,S.; Turner,J.C.; Franks,J.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/35723/2018	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; McKenzie,P.; Webby,R.J.; Feeroz,M.; Webster,R.G."	
A/duck/Bangladesh/35439/2018	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; McKenzie,P.; Webby,R.J.; Feeroz,M.; Webster,R.G."	
A/duck/Bangladesh/35600/2018	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; McKenzie,P.; Webby,R.J.; Feeroz,M.; Webster,R.G."	
A/duck/Bangladesh/35829/2018	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; McKenzie,P.; Webby,R.J.; Feeroz,M.; Webster,R.G."	
A/duck/Bangladesh/35924/2018	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; McKenzie,P.; Webby,R.J.; Feeroz,M.; Webster,R.G."	
A/duck/Bangladesh/35437/2018	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; McKenzie,P.; Webby,R.J.; Feeroz,M.; Webster,R.G."	
A/duck/Bangladesh/40416/2019	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/40638/2019	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/49780/2021	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/chicken/Bangladesh/50585/2021	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/49735/2021	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/50550/2021	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/49671/2021	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/50661/2021	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/50549/2021	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/50053/2021	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/50002/2021	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/40532/2019	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/38175/2019	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/40524/2019	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/40528/2019	"Barman,S.; Turner,J.C.; Hasan,M.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Mukherjee,N.; Kercher,L.; McKenzie,P.; Feeroz,M.; Webby,R.J."	
A/duck/Bangladesh/33772/2017	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.; Webster,R.G."	
A/chicken/Bangladesh/32806/2017	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.; Webster,R.G."	
A/chicken/Bangladesh/32747/2017	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.; Webster,R.G."	
A/duck/Bangladesh/30815/2016	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/30818/2016	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/31097/2016	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/31093/2016	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/31022/2016	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/30682/2016	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/30817/2016	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/32247/2017	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/32003/2017	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/30884/2016	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/34744/2018	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/34751/2018	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/34745/2018	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
