strain	author	submitting_lab
A/chicken/Italy/21VIR11485/2021	"Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Pastori, A.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/turkey/Italy/21VIR10930/2021	"Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Pastori, A.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/Goose/Italy/22VIR96733/2022	"Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Pastori, A.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/teal/Italy/22VIR991719/2022	"Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Pastori, A.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/teal/Italy/22VIR1039633/2022	"Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Pastori, A.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/turkey/Italy/22VIR110564/2022	"Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Pastori, A.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/turkey/Italy/22VIR106274/2022	"Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Pastori, A.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/layinghen/Romania/1134322VIR41061/2022	"Barbuceanu, F; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Zecchin, B.; Barbierato, G.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/layinghen/Romania/1156222VIR41064/2022	"Barbuceanu, F; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Zecchin, B.; Barbierato, G.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/pelican/Romania/1133422VIR41063/2022	"Barbuceanu, F; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Zecchin, B.; Barbierato, G.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/pelican/Romania/1133522VIR41062/2022	"Barbuceanu, F; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Zecchin, B.; Barbierato, G.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/swan/Romania/1690522VIR27491/2021	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/swan/Romania/1065622VIR27496/2022	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/swan/Romania/1067822VIR27497/2022	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
